TOP,MIDDLE,JUNGLE,BOTTOM,UTILITY,OUTCOME,experience,goldspent,baron,champion_kills,dragon,inhibitor,riftHerald,tower,teamId
Rumble,Yone,Khazix,Ezreal,Blitzcrank,Lose,55238,60913,1,20,0,0,1,3,100
Ornn,Yasuo,Gragas,Ezreal,Blitzcrank,Win,57457,7300,1,28,4,1,2,6,100
Rumble,Katarina,Poppy,Aphelios,Rakan,Lose,50090,55040,0,17,0,0,0,2,200
Ornn,Yasuo,Gragas,Ezreal,Zeri,Win,69681,14300,0,47,0,1,0,4,100
Rumble,Katarina,Poppy,Aphelios,Karma,Lose,60856,69491,0,30,0,0,0,0,200
Aatrox,Yasuo,Gragas,Aphelios,Rakan,Win,30277,31026,0,16,1,0,0,1,200
Garen,Jayce,Nidalee,Kaisa,Blitzcrank,Lose,28126,31676,0,9,0,0,1,2,100
Gragas,Annie,LeeSin,Xayah,Rakan,Win,45554,45721,0,26,2,0,1,6,200
Jayce,Ahri,Volibear,Aphelios,Milio,Lose,39696,44871,0,12,0,0,1,2,100
Gragas,Annie,LeeSin,Xayah,Kalista,Win,114137,14680,0,54,0,2,0,4,100
Jayce,Ahri,Volibear,Aphelios,Zilean,Lose,109943,123793,0,51,0,0,0,1,200
Gangplank,Zed,Elise,KogMaw,Milio,Win,74937,71514,1,34,2,2,1,10,200
Gragas,Fizz,Khazix,Zeri,Janna,Lose,63414,70139,0,22,2,0,1,2,100
Rengar,Rumble,Nidalee,Kaisa,Annie,Win,40009,4600,0,33,1,1,2,8,100
Camille,Ahri,Kindred,Xayah,Lulu,Lose,32812,37162,0,12,0,0,0,1,200
Rengar,Rumble,Nidalee,Kaisa,Shen,Win,138180,14675,0,79,0,3,0,4,100
Camille,Ahri,Kindred,Xayah,Vladimir,Lose,126530,143180,0,68,0,1,0,4,200
Fiora,Fizz,Maokai,Lucian,Milio,Win,60406,6625,1,24,4,1,1,7,100
Kennen,Irelia,LeeSin,Ezreal,Pyke,Lose,47228,53003,0,13,0,0,1,2,200
DrMundo,Zoe,MasterYi,Jinx,Milio,Win,59014,7200,1,33,2,1,1,8,100
Gnar,AurelionSol,Nidalee,Aphelios,Pyke,Lose,47313,54363,0,16,1,0,1,2,200
Udyr,Viktor,Viego,Aphelios,Pyke,Win,35016,34108,0,20,1,0,1,1,200
KSante,Vladimir,MasterYi,Xayah,Rakan,Lose,29708,33658,0,10,1,0,0,0,100
Gnar,Ahri,LeeSin,Jinx,Lulu,Win,37119,30069,0,24,1,3,1,11,200
KSante,Viktor,Yuumi,Zeri,Milio,Lose,24319,27669,0,2,0,0,0,0,100
Kayle,Ryze,LeeSin,Kaisa,Nautilus,Win,66320,6650,0,32,1,1,0,8,100
Irelia,Yasuo,Nunu,Zeri,Karma,Lose,62835,69210,1,30,2,0,2,4,200
Kayle,Ryze,LeeSin,Kaisa,Rakan,Win,105135,10750,0,67,0,2,0,4,100
Irelia,Yasuo,Nunu,Zeri,Mordekaiser,Lose,98673,111808,0,55,0,0,0,1,200
Mordekaiser,Zed,Belveth,Aphelios,Thresh,Win,38154,4725,0,18,2,1,2,7,100
Camille,Vex,Hecarim,Ezreal,Sona,Lose,32186,35461,0,7,0,0,0,0,200
Mordekaiser,Talon,Khazix,Ezreal,Rakan,Win,85445,8200,2,40,3,1,2,8,100
KSante,Ahri,Kayn,Varus,Leona,Lose,75352,82827,0,26,2,0,0,6,200
Akshan,Fizz,Graves,Zeri,Pyke,Win,72751,9075,1,41,2,1,2,8,100
Malphite,Swain,LeeSin,Kaisa,Nautilus,Lose,60438,67638,0,19,1,0,0,1,200
Fiora,Vex,Kindred,Aphelios,Zac,Win,63331,6625,1,24,2,2,2,10,100
Udyr,Ziggs,LeeSin,Jinx,Thresh,Lose,53825,59975,0,16,1,0,0,4,200
Gangplank,Ekko,Viego,Zeri,Rakan,Win,33983,32602,0,20,1,0,1,3,200
Jayce,Viktor,Shaco,Draven,Sona,Lose,28352,31527,0,8,0,0,0,0,100
Sylas,Lissandra,Nocturne,Kalista,Galio,Win,74727,71530,0,34,4,2,2,9,200
Malphite,Yasuo,Vi,Jhin,Xerath,Lose,64130,72230,0,23,1,0,0,3,100
FiddleSticks,Tristana,Khazix,Xayah,Rakan,Win,73322,73879,1,42,4,1,1,8,200
Kayle,Leblanc,Belveth,Kalista,Ashe,Lose,66429,77554,0,36,0,0,1,6,100
Volibear,Annie,Elise,Jhin,Alistar,Win,39660,35960,0,31,1,0,2,4,200
Poppy,Renekton,Nidalee,Aphelios,Blitzcrank,Lose,31335,35135,0,15,1,0,0,1,100
Illaoi,Rumble,Nidalee,Aphelios,Thresh,Win,34139,4625,0,29,1,0,1,4,100
KSante,AurelionSol,Maokai,Jinx,Lulu,Lose,27157,31507,0,6,0,0,0,0,200
Fiora,Leblanc,Kindred,Jinx,Janna,Win,63617,61759,1,30,1,2,1,11,200
Gragas,KSante,Khazix,Aphelios,Thresh,Lose,55534,63109,0,26,2,0,1,2,100
Fiora,Leblanc,Kindred,Jinx,Jayce,Win,139857,17550,0,71,0,1,0,4,100
Gragas,KSante,Khazix,Aphelios,Swain,Lose,132443,147393,0,58,0,0,0,1,200
Gangplank,Rumble,Taliyah,Xayah,Nautilus,Win,58428,48868,1,30,3,2,1,9,200
Ornn,Pantheon,Viego,Jhin,Lux,Lose,42818,47918,0,9,0,0,1,0,100
Jayce,Diana,Maokai,Zeri,Lulu,Win,37719,4750,0,15,2,0,2,4,100
Karma,Syndra,Vi,Aphelios,Amumu,Lose,36260,40235,0,9,0,0,0,0,200
Jayce,Diana,Maokai,Zeri,FiddleSticks,Win,88190,10750,0,54,0,1,0,4,100
Karma,Syndra,Vi,Aphelios,Lucian,Lose,80719,93394,0,45,0,0,0,1,200
Darius,Ahri,Viego,Jinx,Bard,Win,62294,52982,1,32,3,2,2,10,200
Sion,Lissandra,Karthus,Ezreal,Thresh,Lose,46632,52132,0,12,0,0,0,0,100
Tristana,Fizz,Khazix,Ezreal,Lux,Win,56762,55267,0,29,3,3,2,11,200
Jayce,Syndra,Gragas,Xayah,Thresh,Lose,47682,53707,0,19,0,0,0,1,100
Tristana,Fizz,Khazix,Ezreal,Yasuo,Win,116405,14600,0,72,0,2,0,4,100
Jayce,Syndra,Gragas,Xayah,Lux,Lose,108035,121315,0,64,0,1,0,2,200
Gnar,Ahri,Vi,Lucian,Milio,Win,64565,60284,1,37,3,1,1,9,200
Warwick,Fizz,Talon,Zeri,Yuumi,Lose,52834,57959,0,20,0,0,1,0,100
Camille,Yone,Elise,Zeri,Yuumi,Win,31062,4275,0,21,1,0,1,4,100
Cassiopeia,XinZhao,Nidalee,KogMaw,Lulu,Lose,29983,33708,0,13,0,0,0,0,200
Pantheon,Ahri,Neeko,Kaisa,Pyke,Win,86165,15425,1,52,4,1,1,9,100
Shen,Yasuo,Kindred,Aphelios,Zyra,Lose,74549,88404,1,22,1,0,0,3,200
Teemo,Zoe,Khazix,Heimerdinger,Pyke,Win,84731,11250,2,29,4,3,2,11,100
Sion,Akali,Maokai,Jinx,Milio,Lose,73643,81018,0,20,0,0,0,1,200
Sejuani,Fizz,Vi,Kaisa,Blitzcrank,Win,31003,3475,0,20,1,0,1,1,100
Gnar,Vex,Hecarim,Caitlyn,Yuumi,Lose,28394,32394,0,12,0,0,0,1,200
Sejuani,Fizz,Vi,Kaisa,Vi,Win,95151,11500,0,57,0,1,0,4,100
Gnar,Vex,Hecarim,Caitlyn,Jax,Lose,85499,98582,0,53,0,0,0,1,200
KSante,Ryze,Maokai,Ezreal,Karma,Win,81635,80032,1,38,3,2,1,10,200
Aatrox,Rumble,JarvanIV,Ashe,Soraka,Lose,70697,78122,1,33,1,0,1,3,100
Jax,Sylas,Kindred,Aphelios,Karma,Win,60690,6675,1,21,4,1,1,7,100
Quinn,Ahri,Ekko,Ezreal,Seraphine,Lose,50292,55692,0,10,0,0,1,1,200
Rengar,Sylas,Khazix,Ezreal,Karma,Win,66200,9020,1,41,1,1,2,7,100
Olaf,Leblanc,Graves,Lucian,Milio,Lose,62767,70152,0,26,2,0,0,4,200
Fiora,Sylas,Vi,Varus,KSante,Win,68164,7625,1,40,3,2,1,10,100
Annie,Qiyana,Khazix,Samira,Chogath,Lose,49844,55369,0,22,0,0,1,1,200
Jayce,Syndra,Nidalee,Ezreal,Karma,Win,56144,50468,1,27,2,1,2,8,200
Jax,Anivia,Graves,Zeri,Yuumi,Lose,43443,49518,0,20,1,0,0,3,100
Neeko,Nautilus,Viego,Jinx,Janna,Win,57299,51560,1,28,2,1,1,8,200
Kayle,Annie,LeeSin,Aphelios,Thresh,Lose,45600,50850,0,11,1,0,1,2,100
Camille,Lissandra,Sylas,Varus,Rakan,Win,75140,7475,1,29,1,1,0,7,100
Maokai,Anivia,Nunu,Lucian,Zyra,Lose,60673,68333,0,17,3,0,2,4,200
Pantheon,TwistedFate,Zac,Caitlyn,Karma,Win,79338,9225,2,39,3,2,1,9,100
Poppy,Anivia,Gragas,Jhin,Blitzcrank,Lose,63524,71099,0,33,0,0,1,4,200
Viktor,Akshan,Graves,Xayah,Leona,Win,35882,3300,0,17,1,0,1,4,100
Kayle,Lissandra,Khazix,Ezreal,Rakan,Lose,27307,30242,0,7,0,0,0,0,200
Sion,Syndra,Graves,Aphelios,Zyra,Win,70302,68702,1,33,4,1,2,9,200
Riven,Leblanc,Viego,Sivir,Soraka,Lose,60467,66517,0,22,0,0,0,3,100
Sion,Syndra,Graves,Aphelios,Velkoz,Win,91215,14000,0,57,0,1,0,4,100
Riven,Leblanc,Viego,Sivir,Heimerdinger,Lose,84149,95699,0,49,0,0,0,1,200
Gangplank,Akali,MasterYi,Aphelios,Nautilus,Win,72358,62740,2,37,3,2,0,11,200
Jayce,Annie,Elise,Ezreal,Rakan,Lose,53990,60915,0,23,1,0,2,2,100
Maokai,Ahri,JarvanIV,Kaisa,Blitzcrank,Win,32605,4450,0,25,2,0,1,4,100
Singed,Lissandra,Graves,Lucian,Annie,Lose,27410,30910,0,7,0,0,0,0,200
Poppy,Nautilus,Khazix,Aphelios,Sona,Win,74762,72910,1,42,3,2,2,8,200
Gragas,Katarina,Kindred,Ezreal,Pyke,Lose,64085,73710,0,30,1,0,0,4,100
Cassiopeia,Garen,Kindred,Jinx,Lulu,Win,67599,7000,1,24,3,3,2,11,100
Kayle,Yasuo,Gragas,Aphelios,Yuumi,Lose,53562,59162,0,11,0,0,0,2,200
Gragas,Yasuo,Nunu,Xayah,Rakan,Win,71636,68125,2,32,3,2,0,10,200
Fiora,Anivia,LeeSin,Aphelios,Thresh,Lose,60100,66675,0,20,1,0,2,5,100
Riven,Qiyana,Warwick,KogMaw,Milio,Win,62876,7075,1,29,2,1,0,9,100
KSante,Viktor,Udyr,Aphelios,Lulu,Lose,51119,58044,0,17,1,0,2,2,200
Malphite,Ahri,Vi,Aphelios,Thresh,Win,54515,5500,0,35,2,1,2,7,100
Darius,Irelia,Neeko,Jinx,Lulu,Lose,53098,59118,1,24,0,0,0,1,200
Malphite,Ahri,Vi,Aphelios,Lulu,Win,96186,102209,0,59,0,2,0,2,200
Darius,Irelia,Neeko,Jinx,Mordekaiser,Lose,90559,103459,0,57,0,1,0,2,100
Yorick,Renekton,Ekko,Vayne,Thresh,Win,70461,6750,1,23,3,3,2,11,100
DrMundo,Zed,Zac,Zeri,Yuumi,Lose,58925,65550,0,18,1,0,0,1,200
Renekton,AurelionSol,Sylas,Tristana,Taric,Win,70815,7725,1,44,2,1,1,10,100
Gnar,Morgana,Neeko,Xayah,Senna,Lose,56394,66294,0,28,2,0,0,2,200
Ryze,Qiyana,Viego,Xayah,Milio,Win,65810,6125,1,31,2,2,1,9,100
Jayce,Swain,LeeSin,Aphelios,Rakan,Lose,51673,57998,0,15,1,0,1,3,200
Sion,Jhin,Zac,Ezreal,Leona,Win,53575,7150,1,26,1,1,2,7,100
Yorick,Rumble,Belveth,Aphelios,Blitzcrank,Lose,45368,49593,0,15,1,0,0,2,200
Olaf,Katarina,Zac,Ezreal,Thresh,Win,81924,8325,1,44,4,1,1,9,100
Garen,Zed,DrMundo,Aphelios,Lulu,Lose,66314,73814,1,21,1,0,1,2,200
KSante,Lissandra,Kayn,Varus,Thresh,Win,64045,7560,1,41,2,0,2,7,100
Kled,Cassiopeia,Taliyah,Ezreal,Karma,Lose,55744,62139,0,25,1,0,0,2,200
Vayne,Yone,Nidalee,Draven,Nautilus,Win,93586,10450,2,45,3,1,1,8,100
Akshan,Zed,XinZhao,Kaisa,Blitzcrank,Lose,86566,95391,0,44,2,2,1,9,200
Teemo,Yasuo,Diana,Aphelios,Thresh,Win,58112,7250,1,35,3,1,2,9,100
Tryndamere,Swain,Kindred,Ezreal,Xerath,Lose,48936,54786,0,23,0,0,0,2,200
Jax,Katarina,LeeSin,Zeri,Ashe,Win,53230,48292,1,29,1,1,2,6,200
Camille,Tristana,FiddleSticks,Draven,Nautilus,Lose,41792,48392,0,16,2,0,0,3,100
Shen,Orianna,Nidalee,KogMaw,Yuumi,Win,31976,4300,0,15,0,0,0,2,100
Kennen,Katarina,Warwick,Ezreal,Soraka,Lose,28020,30945,0,5,1,0,1,0,200
KSante,Qiyana,Nidalee,Xayah,Brand,Win,81430,8325,1,45,2,2,2,10,100
Malphite,Talon,Maokai,Nilah,Senna,Lose,70810,80560,1,32,3,0,0,1,200
Gragas,Qiyana,Ekko,Lucian,Milio,Win,65495,7525,1,31,1,1,2,10,100
Renekton,Viktor,Shaco,Jinx,Braum,Lose,54524,61124,0,16,2,0,0,4,200
Gragas,Qiyana,Ekko,Lucian,Yuumi,Win,91299,8250,0,61,0,1,0,4,100
Renekton,Viktor,Shaco,Jinx,MissFortune,Lose,79947,89497,0,45,0,1,0,2,200
Gangplank,Leblanc,Vi,KogMaw,Thresh,Win,69646,63612,1,40,4,2,0,8,200
Mordekaiser,Veigar,Katarina,Velkoz,Senna,Lose,56412,63787,0,21,0,0,0,3,100
Renekton,AurelionSol,Qiyana,Caitlyn,Lux,Win,59506,7375,1,32,1,1,2,8,100
Singed,Galio,Khazix,Kaisa,Zac,Lose,49812,56012,0,20,2,0,0,2,200
Renekton,Yone,Elise,Xayah,Rakan,Win,33771,3425,0,20,2,0,0,3,100
Gwen,Syndra,LeeSin,Zeri,Lulu,Lose,28074,31574,0,8,0,0,1,1,200
Rumble,Qiyana,Ekko,Ezreal,Yuumi,Win,41255,5120,0,25,1,0,2,4,100
Aatrox,Sylas,Viego,Kalista,Nautilus,Lose,33337,36912,0,9,0,0,0,2,200
Jayce,Talon,Nidalee,Jhin,Nautilus,Win,71530,62683,1,38,3,2,1,9,200
Gwen,Yone,Viego,Aphelios,Karma,Lose,56258,61633,0,15,0,0,1,4,100
Gragas,Qiyana,Sylas,Jinx,Lulu,Win,90821,80446,2,39,2,1,0,7,200
Jax,Annie,Kindred,Aphelios,Thresh,Lose,72721,81646,0,33,2,0,2,8,100
Gragas,Qiyana,Sylas,Jinx,Lux,Win,74556,10400,0,57,0,1,0,4,100
Jax,Annie,Kindred,Aphelios,Brand,Lose,69221,77121,0,43,0,0,0,1,200
Darius,Katarina,Nocturne,Ezreal,Karma,Win,34978,35994,0,18,1,0,0,3,200
KSante,Qiyana,Neeko,Varus,Pyke,Lose,31894,35494,0,10,0,0,1,1,100
Jax,Fizz,LeeSin,Jinx,Lulu,Win,55036,49590,1,38,2,1,2,8,200
Pantheon,Zoe,Karthus,Zeri,Annie,Lose,42065,47840,0,18,1,0,0,1,100
Fiora,Vladimir,RekSai,Aphelios,Thresh,Win,81912,7775,0,46,2,4,1,11,100
Darius,Ahri,Shaco,Xayah,Rakan,Lose,87140,96175,2,32,2,1,1,6,200
Jayce,Viktor,Elise,Kaisa,Taric,Win,53772,5300,1,20,3,0,0,3,100
Irelia,Cassiopeia,Kindred,Ezreal,Morgana,Lose,44278,48493,0,8,0,0,2,5,200
Jayce,Viktor,Elise,Kaisa,Vex,Win,112407,12950,0,52,0,3,0,4,100
Irelia,Cassiopeia,Kindred,Ezreal,Shyvana,Lose,109146,124396,0,55,0,1,0,2,200
Poppy,Cassiopeia,Graves,Aphelios,Lulu,Win,70358,66645,1,25,3,2,0,11,200
Gragas,Ahri,Khazix,Jhin,Blitzcrank,Lose,59270,66470,0,20,0,0,2,3,100
Mordekaiser,Orianna,Shaco,Jhin,Milio,Win,86614,8125,1,46,3,3,0,11,100
Fiora,Yasuo,Sylas,Aphelios,Thresh,Lose,68996,75746,1,21,0,0,2,4,200
Garen,Orianna,LeeSin,Jinx,Thresh,Win,77573,74615,1,35,4,2,0,10,200
Fiora,Lux,JarvanIV,Ezreal,Zilean,Lose,66615,73290,0,20,1,0,1,5,100
Jayce,AurelionSol,Talon,Jinx,Thresh,Win,79434,7925,1,28,2,1,1,10,100
Shen,Swain,LeeSin,Ezreal,Blitzcrank,Lose,82161,89886,1,34,3,0,1,3,200
Jayce,AurelionSol,Talon,Jinx,Varus,Win,89994,13500,0,58,0,1,0,4,100
Shen,Swain,LeeSin,Ezreal,Malphite,Lose,83136,92986,0,47,0,0,0,1,200
KSante,Viktor,Graves,Ezreal,Rakan,Win,44416,5750,0,29,2,0,2,4,100
Rumble,Azir,LeeSin,Jinx,Karma,Lose,37036,41786,0,13,1,0,0,3,200
KSante,Galio,Kindred,Xayah,Rakan,Win,31333,33085,0,14,2,0,1,2,200
Gwen,Zoe,Graves,Aphelios,Thresh,Lose,29060,32045,0,2,0,0,0,0,100
Vladimir,Irelia,Elise,Samira,Nautilus,Win,47573,7200,1,27,1,0,1,5,100
Sion,Ahri,Khazix,Ezreal,Braum,Lose,39010,44035,0,16,2,0,1,2,200
Malphite,Talon,Nidalee,Varus,Zyra,Win,35573,31691,0,40,2,0,2,5,200
Fiora,Yone,Elise,Jinx,Thresh,Lose,25066,28016,0,12,0,0,0,1,100
KSante,Syndra,Graves,Ezreal,Nautilus,Win,70598,8275,1,27,2,2,1,9,100
MasterYi,Sylas,Nidalee,Jinx,Milio,Lose,65919,73069,0,17,3,0,1,5,200
KSante,Swain,Viego,Aphelios,Renata,Win,54847,6225,0,35,0,1,2,8,100
Jax,Yasuo,Gragas,Jinx,Lulu,Lose,47015,52365,0,17,2,0,0,1,200
KSante,Swain,Viego,Aphelios,Viktor,Win,105530,105187,0,54,0,1,0,4,200
Jax,Yasuo,Gragas,Jinx,LeeSin,Lose,91387,106287,0,36,0,0,0,2,100
Kennen,Lux,Kindred,Lucian,Nami,Win,45054,36474,0,33,1,2,2,10,200
Aatrox,Karthus,Sylas,Ezreal,Soraka,Lose,31649,35124,0,8,1,0,0,0,100
Lucian,Ahri,Elise,Aphelios,Milio,Win,62852,5635,1,25,1,2,1,9,100
Jayce,Zed,Nidalee,Twitch,Neeko,Lose,55166,61766,0,27,2,0,1,3,200
Rengar,Ryze,MasterYi,Kaisa,Nautilus,Win,46302,5100,0,36,3,0,2,5,100
Jax,Sylas,LeeSin,Jhin,Karma,Lose,35777,41552,0,17,0,0,0,1,200
Ornn,Fizz,Vi,Jinx,Thresh,Win,43106,39953,0,28,2,0,1,3,200
Aatrox,Rumble,Kindred,Samira,Alistar,Lose,35103,39003,0,11,0,0,1,0,100
Poppy,Jayce,Diana,Aphelios,Karma,Win,61399,6375,1,30,1,2,1,10,100
Kennen,Cassiopeia,Volibear,Ezreal,Nautilus,Lose,45717,51742,0,12,2,0,1,0,200
Teemo,Rumble,Kindred,Varus,Xerath,Win,100410,116214,1,44,4,1,0,10,200
Veigar,Lux,LeeSin,Kaisa,Swain,Lose,104689,129564,2,56,2,0,2,5,100
Poppy,Cassiopeia,Kindred,Nilah,Sejuani,Win,37857,36842,0,18,2,0,0,2,200
KSante,Tristana,Gragas,Aphelios,Leona,Lose,32192,36817,0,12,0,0,1,1,100
Sett,Lissandra,Nunu,Zeri,Lulu,Win,84233,105879,0,30,4,1,0,7,200
Jayce,Leblanc,Viego,Xayah,Rakan,Lose,88879,96954,2,21,0,0,1,4,100
Rumble,Lissandra,Viego,Jinx,Thresh,Win,83205,96991,0,32,4,1,0,8,200
Renekton,Leblanc,Lillia,Xayah,Pyke,Lose,88816,98791,2,30,1,1,2,8,100
Akshan,Yone,Gragas,Ezreal,Rakan,Win,101328,99452,2,31,3,2,1,9,200
Nasus,Jayce,Nidalee,Aphelios,Lulu,Lose,89727,97852,1,28,3,1,1,7,100
Gwen,Irelia,Elise,Draven,Karma,Win,56135,6775,1,32,3,2,2,10,100
Warwick,Katarina,Khazix,Xayah,Blitzcrank,Lose,47061,59146,0,34,0,0,0,2,200
Nasus,Yone,Nidalee,Jinx,Rakan,Win,74852,8625,1,41,1,1,1,7,100
Olaf,Akali,Karthus,Aphelios,Renata,Lose,70252,77552,1,32,3,0,1,6,200
Jayce,Akali,Poppy,Zeri,Nautilus,Win,86647,95318,1,50,3,2,1,10,200
Zac,Akshan,Elise,Varus,Amumu,Lose,84233,93488,1,40,1,0,1,4,100
Poppy,Sylas,Neeko,Xayah,Karma,Win,30913,3300,0,14,2,2,1,9,100
Ashe,Pantheon,Maokai,Jhin,Seraphine,Lose,21989,24974,0,3,0,0,0,0,200
Fiora,Rumble,Graves,Xayah,Pyke,Win,67207,60136,1,26,4,1,0,5,200
Gragas,Sylas,Qiyana,Draven,Nautilus,Lose,53786,60336,0,17,0,0,2,3,100
Sejuani,KSante,Kindred,Seraphine,Ashe,Win,55015,7125,0,36,3,0,2,6,100
Jax,Sylas,LeeSin,Draven,FiddleSticks,Lose,41761,46886,0,14,0,0,0,2,200
Jax,Orianna,Belveth,Ezreal,Nautilus,Win,76615,8575,1,20,2,1,2,9,100
Kennen,Talon,Elise,Lucian,Yuumi,Lose,72719,80094,1,24,3,1,0,8,200
Kayle,Lissandra,LeeSin,Kaisa,Rell,Win,65527,6400,1,20,2,1,1,8,100
Malphite,Zed,Maokai,Ezreal,Karma,Lose,54720,61620,0,15,2,0,1,3,200
Rengar,Tristana,Sylas,Varus,Milio,Win,31835,3500,0,18,0,0,1,4,100
Jax,Talon,Rumble,Jinx,Pyke,Lose,28882,32157,0,14,1,0,0,1,200
Poppy,Viktor,MonkeyKing,Zeri,Milio,Win,51781,50569,0,28,3,0,1,5,200
Fiora,Akali,Hecarim,Ezreal,Galio,Lose,44994,51194,0,15,0,0,1,4,100
Shen,Gragas,Taric,Samira,Pyke,Win,79599,68333,2,35,4,2,0,8,200
Darius,Leblanc,LeeSin,Jinx,Thresh,Lose,60433,67333,0,17,0,0,2,5,100
Jax,Ahri,Khazix,Aphelios,Rakan,Win,37353,4275,0,24,2,0,0,3,100
Rengar,Tristana,Neeko,Jhin,Karma,Lose,31810,37195,0,14,0,0,0,0,200
Rumble,Orianna,JarvanIV,Aphelios,Thresh,Win,53420,6125,1,23,3,0,0,4,100
Mordekaiser,Ryze,LeeSin,Zeri,Bard,Lose,45323,50623,0,11,0,0,2,2,200
KSante,Ahri,LeeSin,Ezreal,Karma,Win,70462,67461,1,38,4,1,0,10,200
Singed,Sylas,Kindred,Jhin,Thresh,Lose,59111,65261,0,23,0,0,2,1,100
Riven,Syndra,Trundle,Xayah,Rakan,Win,66484,6150,1,26,1,1,1,5,100
Jax,Sylas,Nidalee,Xayah,Rakan,Lose,58086,64611,0,15,2,0,1,3,200
Chogath,Qiyana,Nidalee,Ezreal,Nautilus,Win,66651,8650,1,35,3,2,1,10,100
Renekton,Leblanc,Diana,Jinx,Pyke,Lose,54916,63616,0,24,1,0,1,3,200
Yorick,Ziggs,Rumble,Aphelios,Soraka,Win,43378,41353,0,21,2,1,1,6,200
Kalista,Katarina,Maokai,Draven,Rakan,Lose,35603,39413,0,4,1,0,1,1,100
Yorick,Ziggs,Rumble,Aphelios,Kindred,Win,92699,15100,0,39,0,2,0,4,100
Kalista,Katarina,Maokai,Draven,Rakan,Lose,97890,110790,0,55,0,0,0,1,200
Sion,Viktor,Kayn,Jinx,Thresh,Win,55343,53451,1,25,2,1,0,7,200
Quinn,Lissandra,Kindred,Kaisa,Zilean,Lose,47651,53326,0,16,1,0,2,1,100
Jayce,Ahri,Nidalee,Kaisa,Nautilus,Win,48672,5950,0,29,3,1,2,7,100
Vladimir,Fizz,Kindred,Zeri,Thresh,Lose,39365,43840,0,14,0,0,0,0,200
Fiora,Ahri,Zac,Zeri,Pyke,Win,34731,4925,0,15,1,0,0,1,100
Poppy,Tristana,Elise,Kaisa,Nautilus,Lose,29088,32538,0,6,0,0,1,0,200
LeeSin,Pantheon,Karthus,Ezreal,Braum,Win,58414,7400,1,25,2,1,2,7,100
Rengar,Rumble,Sylas,Draven,Ashe,Lose,48542,53617,0,14,2,0,0,1,200
KSante,Akshan,Udyr,Kaisa,Nautilus,Win,35590,35745,0,16,1,0,1,2,200
Gwen,Ahri,Khazix,Jinx,Alistar,Lose,31545,34970,0,9,1,0,1,1,100
Camille,FiddleSticks,Nidalee,Ezreal,Senna,Win,40389,8075,0,30,1,0,1,7,100
Yone,Syndra,Khazix,Vayne,Blitzcrank,Lose,31808,36683,0,8,0,0,0,1,200
Rengar,Talon,Elise,Kaisa,Nautilus,Win,32338,4875,0,24,1,0,0,4,100
Jayce,Ahri,Khazix,Twitch,Soraka,Lose,26899,30499,0,11,0,0,1,0,200
KSante,Orianna,Nidalee,Aphelios,Rakan,Win,80112,82062,1,31,4,1,0,9,200
Jayce,Ryze,Graves,Xayah,Senna,Lose,74662,83762,1,17,0,1,2,5,100
Malphite,Vladimir,Viego,Jinx,Morgana,Win,101481,11125,3,44,3,7,0,11,100
Kayle,Ahri,Graves,Aphelios,Nautilus,Lose,113416,122716,1,32,4,1,2,5,200
Ornn,Gangplank,Vi,Kalista,Blitzcrank,Win,81173,7675,1,38,2,1,1,7,100
Darius,Malzahar,JarvanIV,Kaisa,Nautilus,Lose,72184,80584,1,34,3,0,1,4,200
Volibear,Yasuo,Hecarim,Kalista,Thresh,Win,60520,6850,1,28,1,1,0,6,100
Jax,Vex,Viego,Lucian,Milio,Lose,51761,57261,0,22,2,0,2,4,200
Volibear,Yasuo,Hecarim,Kalista,Pantheon,Win,106614,14350,0,55,0,2,0,4,100
Jax,Vex,Viego,Lucian,Braum,Lose,106859,118559,0,58,0,0,0,1,200
Renekton,Kled,Gragas,Lucian,Nami,Win,33803,30143,0,24,1,0,2,3,200
Yasuo,Orianna,JarvanIV,Jinx,Lulu,Lose,25918,29268,0,10,0,0,0,0,100
Jax,Tristana,Karthus,Kaisa,Rakan,Win,65828,6980,1,22,2,2,1,10,100
Seraphine,Gangplank,Evelynn,Jhin,Yuumi,Lose,65966,75741,0,29,2,1,1,4,200
Gnar,Lissandra,LeeSin,Jinx,Nautilus,Win,68224,6550,1,36,2,2,1,10,100
Pantheon,Sett,MasterYi,Ezreal,Milio,Lose,52497,58622,0,25,2,0,1,1,200
KSante,Zac,Khazix,Twitch,Janna,Win,58866,7325,1,32,2,3,2,11,100
Kennen,Yone,LeeSin,Ezreal,Rell,Lose,46129,51254,0,15,1,0,0,1,200
Sion,Lissandra,Nunu,Xayah,Ashe,Win,68882,64131,1,38,2,2,2,9,200
Jayce,TwistedFate,Nidalee,Zeri,Nautilus,Lose,55831,61631,0,19,1,0,0,2,100
Sion,Lissandra,Nunu,Xayah,Ezreal,Win,97757,13250,0,58,0,2,0,4,100
Jayce,TwistedFate,Nidalee,Zeri,Pantheon,Lose,96468,109268,0,57,0,0,0,1,200
Yone,Yasuo,Sylas,Varus,Thresh,Win,70264,8100,1,32,3,1,1,9,100
Jax,Leblanc,Kindred,Jinx,Milio,Lose,50265,55200,0,14,1,0,1,2,200
KSante,Sylas,Kindred,Kaisa,Blitzcrank,Win,80070,81790,1,37,3,1,2,9,200
Nasus,Fizz,Poppy,Ezreal,Sona,Lose,73340,83825,1,35,1,2,0,7,100
