TOP,MIDDLE,JUNGLE,BOTTOM,UTILITY,OUTCOME,experience,goldspent,baron,champion_kills,dragon,inhibitor,riftHerald,tower,teamId
Jayce,Leblanc,LeeSin,Aphelios,Sona,Win,55925,53576,1,29,3,1,2,8,200
Quinn,Ahri,Volibear,KogMaw,Lulu,Lose,45991,52216,0,17,1,0,0,2,100
Olaf,Singed,Graves,Xayah,Leona,Win,50356,46717,1,31,3,1,1,9,200
Malphite,Diana,MonkeyKing,Twitch,Yuumi,Lose,39717,44687,0,14,0,0,1,2,100
Riven,Leblanc,Elise,Aphelios,Sion,Win,70898,10550,0,32,1,1,1,11,100
Gragas,Ahri,MasterYi,Sivir,Rakan,Lose,70820,79345,1,34,3,1,1,5,200
Irelia,Yasuo,Nunu,Samira,Malphite,Win,61799,57163,0,38,1,3,1,11,200
Shyvana,Ornn,Kindred,Aphelios,Shaco,Lose,50713,59513,0,23,0,0,0,1,100
Tristana,Yone,Nidalee,Ezreal,Brand,Win,85005,80595,2,34,4,2,2,10,200
Gangplank,Lux,LeeSin,Aphelios,Blitzcrank,Lose,70745,79095,0,31,1,0,0,3,100
Ornn,Azir,Viego,Kaisa,Nautilus,Win,66702,7900,1,32,1,2,2,9,100
Renekton,Galio,Karthus,Samira,Rell,Lose,55391,61741,0,22,3,0,0,3,200
Jayce,Leblanc,Talon,Aphelios,Zyra,Win,66326,60950,1,26,3,3,1,11,200
Gragas,Yone,Ekko,Ezreal,Soraka,Lose,53075,58950,0,11,0,0,1,0,100
KSante,Talon,Nidalee,Xayah,Xerath,Win,64206,9050,1,38,2,2,1,9,100
Darius,Orianna,Amumu,Jinx,Thresh,Lose,53432,58757,0,24,2,0,1,2,200
Akshan,Nunu,Hecarim,Xayah,Xerath,Win,87885,9510,1,42,1,1,2,8,100
Poppy,Viktor,Khazix,Aphelios,Thresh,Lose,84944,92544,1,37,3,0,0,5,200
Jayce,TwistedFate,LeeSin,Aphelios,Bard,Win,59174,6775,1,27,2,2,0,9,100
Rumble,Akshan,Evelynn,Ezreal,Lulu,Lose,46648,52508,0,22,0,0,1,3,200
Fiora,Zed,Karthus,Ezreal,Nautilus,Win,58553,52169,1,33,3,2,1,9,200
Yone,Zoe,Shaco,Caitlyn,Thresh,Lose,45394,50294,0,21,0,0,1,1,100
Graves,TwistedFate,Kindred,Kaisa,Rakan,Win,30952,4800,0,17,1,0,1,4,100
Malphite,Azir,Gragas,Xayah,Lulu,Lose,25852,28952,0,7,0,0,0,0,200
Renekton,Ryze,Sejuani,Zeri,Milio,Win,33786,33886,0,15,2,0,0,3,200
Jayce,Veigar,Hecarim,Jinx,Lulu,Lose,28611,31361,0,3,0,0,1,1,100
KSante,Pantheon,Nidalee,Xerath,Karma,Win,65658,58493,1,34,3,0,1,4,200
Fiora,Ahri,Kindred,Ezreal,Anivia,Lose,51268,57118,0,14,0,0,1,3,100
KSante,Akali,XinZhao,Ezreal,Heimerdinger,Win,51288,7000,0,29,3,0,1,4,100
Gragas,Zoe,Viego,Varus,Taric,Lose,41656,46481,0,18,0,0,1,0,200
KSante,Akali,XinZhao,Ezreal,Lux,Win,37008,41823,0,21,0,0,0,0,200
Gragas,Zoe,Viego,Varus,Sona,Lose,36623,40923,0,17,0,0,0,0,100
